model,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision,top_10_pct_cases,overall_violation_rate,top_10_pct_violation_rate,top_10_pct_lift,captured_violation_share
Histogram Gradient Boosting,0.7420587747774546,0.8895197539626213,0.22805772415424652,0.4065795023196963,0.292209760533495,0.8095510966962987,0.21325685795789676,4227.0,0.056091790868228054,0.22805772415424652,4.065795023196964,0.4065795023196963
Logistic Regression,0.7533702544486718,0.8884788265909629,0.22285308729595457,0.39730071699704766,0.28554107305244014,0.8074364415023514,0.20362833780999817,4227.0,0.056091790868228054,0.22285308729595457,3.9730071699704768,0.39730071699704766
Random Forest,0.6257064299010293,0.886444286728176,0.21268038798202035,0.37916490932096164,0.27250682024856016,0.8008051519458206,0.2035362611175395,4227.0,0.056091790868228054,0.21268038798202035,3.7916490932096165,0.37916490932096164
Overall Rate Baseline,0.056093117887813765,0.056091790868228054,0.056091790868228054,1.0,0.10622521896910911,0.5,0.056091790868228054,4227.0,0.056091790868228054,0.057487579843860895,1.024884015183467,0.10248840151834669
Age-Based Baseline,0.5158730158730159,0.8417317246273953,0.024443955075974456,0.04681568958245466,0.03211805555555555,0.5607675195981198,0.06110426807536991,4227.0,0.056091790868228054,0.02507688668086113,0.44706874736398144,0.044706874736398144
